timestamp,num_positions,top_5_assets,top_5_weights,total_weight
2018-09-25,283,"AMD, DXCM, DUK, LMT, CVX","0.1854, 0.0129, 0.0093, 0.0091, 0.0090",1.0
2018-10-09,283,"AMD, DXCM, LMT, CVX, MPC","0.1843, 0.0097, 0.0094, 0.0083, 0.0079",1.0
2018-10-23,283,"AMD, TSLA, MKTX, DD, SJM","0.1831, 0.0126, 0.0124, 0.0084, 0.0081",1.0
2018-11-06,283,"SBUX, ULTA, MKC, MKTX, CHD","0.1292, 0.0358, 0.0203, 0.0167, 0.0154",1.0
2018-11-20,283,"ULTA, SBUX, MKTX, TSLA, NEM","0.1293, 0.0621, 0.0169, 0.0149, 0.0106",1.0
2018-12-06,283,"TSLA, ENPH, MKTX, WM, F","0.1528, 0.0494, 0.0184, 0.0131, 0.0081",1.0
2018-12-20,283,"ENPH, MKTX, CME, F, ETR","0.1339, 0.0625, 0.0158, 0.0137, 0.0124",1.0
2019-01-07,283,"TSLA, WDAY, CME, EA, ETR","0.1505, 0.0434, 0.0178, 0.0122, 0.0106",1.0
2019-01-22,283,"ENPH, TAP, TTWO, WAB, ETR","0.1827, 0.0153, 0.0150, 0.0125, 0.0114",1.0
2019-02-05,283,"MTCH, WDAY, FE, ENPH, TPL","0.1468, 0.0229, 0.0208, 0.0181, 0.0118",1.0
2019-02-20,283,"MTCH, TTWO, IVZ, ED, DVN","0.1830, 0.0135, 0.0125, 0.0120, 0.0120",1.0
2019-03-06,283,"ENPH, KEYS, ED, ERIE, IVZ","0.1644, 0.0182, 0.0150, 0.0149, 0.0146",1.0
2019-03-20,283,"ENPH, ED, DLTR, MCK, LULU","0.1838, 0.0130, 0.0121, 0.0121, 0.0108",1.0
2019-04-03,283,"ENPH, DTE, LULU, CMG, FICO","0.1837, 0.0295, 0.0177, 0.0092, 0.0066",1.0
2019-04-17,283,"WDC, CMG, DTE, SJM, JPM","0.1810, 0.0168, 0.0163, 0.0102, 0.0089",1.0
2019-05-02,283,"ENPH, DLTR, KMB, DTE, META","0.1933, 0.0144, 0.0132, 0.0102, 0.0093",1.0
2019-05-16,283,"ENPH, KMB, DTE, DLTR, CHD","0.1973, 0.0156, 0.0142, 0.0123, 0.0098",1.0
2019-05-31,283,"ENPH, DTE, CHD, TGT, KMB","0.2003, 0.0166, 0.0109, 0.0092, 0.0086",1.0
2019-06-14,283,"ENPH, DTE, CHD, KO, KMB","0.2003, 0.0168, 0.0118, 0.0084, 0.0083",1.0
2019-06-28,283,"ENPH, CMS, YUM, CL, EOG","0.2000, 0.0157, 0.0147, 0.0091, 0.0073",1.0
2019-07-15,283,"ENPH, CMS, YUM, CL, EOG","0.1993, 0.0166, 0.0138, 0.0087, 0.0074",1.0
2019-07-29,283,"ENPH, WM, NI, DG, TTWO","0.2004, 0.0233, 0.0100, 0.0073, 0.0070",1.0000000000000002
2019-08-12,283,"ENPH, CLX, TSN, LMT, WEC","0.1991, 0.0174, 0.0106, 0.0095, 0.0093",1.0
2019-08-26,283,"ENPH, NEM, CLX, WEC, CHTR","0.2013, 0.0179, 0.0161, 0.0108, 0.0086",1.0
2019-09-10,283,"WDC, VZ, ENPH, VMC, MU","0.1849, 0.0259, 0.0230, 0.0126, 0.0080",1.0000000000000002
2019-09-24,283,"ENPH, VZ, WDC, NEM, TPL","0.1908, 0.0202, 0.0117, 0.0102, 0.0093",1.0000000000000002
2019-10-08,283,"ENPH, SYY, KLAC, TGT, TER","0.1471, 0.0277, 0.0256, 0.0229, 0.0176",1.0
2019-10-22,283,"LEN, ENPH, TGT, SYY, NEM","0.1138, 0.0471, 0.0434, 0.0209, 0.0156",1.0
2019-11-05,283,"LRCX, D, LKQ, MPC, JBL","0.0980, 0.0313, 0.0296, 0.0254, 0.0231",1.0
2019-11-19,283,"TSLA, NEM, DG, MOS, VTR","0.1834, 0.0185, 0.0173, 0.0117, 0.0073",1.0
2019-12-04,283,"TSLA, KR, NEM, WM, MOS","0.1849, 0.0147, 0.0129, 0.0124, 0.0080",1.0
2019-12-18,283,"TSLA, EXR, JNJ, MHK, TSCO","0.1921, 0.0118, 0.0114, 0.0099, 0.0083",1.0
2020-01-03,283,"TSLA, TGT, NEM, KR, ENPH","0.1898, 0.0136, 0.0093, 0.0089, 0.0088",1.0
2020-01-17,283,"TSLA, KR, DVA, DXCM, NEM","0.1839, 0.0062, 0.0061, 0.0061, 0.0058",1.0
2020-02-03,283,"TSLA, DXCM, NEE, EVRG, CPRT","0.1845, 0.0070, 0.0067, 0.0063, 0.0062",1.0
2020-02-18,283,"TSLA, SYY, NEE, NEM, TXT","0.1938, 0.0123, 0.0110, 0.0092, 0.0086",1.0000000000000002
2020-03-03,283,"TSLA, ENPH, CME, CSGP, EQT","0.1476, 0.0567, 0.0265, 0.0163, 0.0148",1.0
2020-03-17,283,"ENPH, CLX, NEM, EQT, TSLA","0.1019, 0.0966, 0.0345, 0.0314, 0.0102",1.0
2020-03-31,283,"TSLA, ENPH, DXCM, DLR, EQT","0.1275, 0.0342, 0.0277, 0.0229, 0.0210",1.0
2020-04-15,283,"EQT, TSLA, CAG, UPS, ENPH","0.1835, 0.0253, 0.0222, 0.0174, 0.0130",1.0
2020-04-29,283,"EQT, CAG, UPS, JKHY, TMO","0.1870, 0.0251, 0.0177, 0.0133, 0.0110",1.0
2020-05-13,283,"EQT, JKHY, ERIE, MSCI, CAG","0.1894, 0.0225, 0.0185, 0.0164, 0.0151",1.0
2020-05-28,283,"EQT, MAR, TGT, OXY, MOH","0.1841, 0.0270, 0.0252, 0.0099, 0.0072",1.0
2020-06-11,283,"NCLH, KR, WSM, LULU, EQT","0.1559, 0.0307, 0.0193, 0.0146, 0.0141",1.0
2020-06-25,283,"TRGP, CLX, KR, NCLH, ENPH","0.1852, 0.0276, 0.0173, 0.0137, 0.0094",1.0
2020-07-10,283,"TSLA, TRGP, CLX, KR, WMT","0.1599, 0.0326, 0.0256, 0.0140, 0.0112",1.0
2020-07-24,283,"TRGP, TSLA, CLX, KR, NCLH","0.1694, 0.0199, 0.0183, 0.0178, 0.0126",1.0
2020-08-07,283,"TSLA, FSLR, DG, CLX, UAL","0.1606, 0.0239, 0.0197, 0.0172, 0.0164",1.0
2020-08-21,283,"TSLA, WMT, MTCH, EMR, ENPH","0.1852, 0.0312, 0.0164, 0.0116, 0.0099",1.0
2020-09-04,283,"TSLA, WMT, NCLH, DLTR, KIM","0.1852, 0.0418, 0.0109, 0.0099, 0.0085",1.0
2020-09-21,283,"TSLA, MTCH, EXR, ED, VMC","0.1836, 0.0179, 0.0108, 0.0105, 0.0094",1.0
2020-10-05,283,"ENPH, DHR, NCLH, EQT, SYF","0.1812, 0.0236, 0.0111, 0.0102, 0.0090",1.0
2020-10-19,283,"ENPH, DHR, NCLH, DPZ, EBAY","0.1817, 0.0185, 0.0146, 0.0107, 0.0104",1.0
2020-11-02,283,"TPR, NEE, FDX, KR, DHR","0.2007, 0.0165, 0.0091, 0.0086, 0.0069",1.0000000000000002
2020-11-16,283,"TPR, KIM, DHR, EBAY, IVZ","0.1838, 0.0171, 0.0155, 0.0092, 0.0077",1.0
2020-12-01,283,"TPR, DHR, FRT, KIM, CLX","0.1849, 0.0210, 0.0149, 0.0147, 0.0097",1.0
2020-12-15,283,"ENPH, DHR, FRT, COST, KIM","0.1828, 0.0164, 0.0146, 0.0103, 0.0096",1.0
2020-12-30,283,"ENPH, TPR, TRGP, FRT, OXY","0.1385, 0.0254, 0.0206, 0.0149, 0.0144",1.0
2021-01-14,283,"OXY, FRT, DHR, FSLR, CL","0.1802, 0.0177, 0.0125, 0.0114, 0.0103",1.0
2021-01-29,283,"OXY, FANG, MKTX, CCI, CLX","0.1514, 0.0447, 0.0163, 0.0142, 0.0139",1.0
2021-02-12,283,"OXY, TSLA, MKTX, CCI, EQT","0.1610, 0.0340, 0.0174, 0.0139, 0.0083",1.0
2021-03-01,283,"OXY, TPL, FANG, MKTX, KR","0.1463, 0.0247, 0.0244, 0.0197, 0.0107",1.0
2021-03-15,283,"TPL, VRSN, CME, WEC, CLX","0.1856, 0.0128, 0.0104, 0.0104, 0.0100",1.0
2021-03-29,283,"TPL, WEC, WSM, FIS, CME","0.1843, 0.0141, 0.0124, 0.0112, 0.0110",0.9999999999999998
2021-04-13,283,"TPL, WEC, OXY, IRM, CAT","0.1849, 0.0232, 0.0093, 0.0083, 0.0080",1.0
2021-04-27,283,"TPL, NI, OXY, WEC, NCLH","0.1832, 0.0173, 0.0107, 0.0102, 0.0094",1.0
2021-05-11,283,"NUE, CL, ED, NCLH, LRCX","0.1836, 0.0254, 0.0144, 0.0121, 0.0099",1.0
2021-05-25,283,"NUE, CHD, UPS, TPL, DLR","0.1829, 0.0181, 0.0174, 0.0137, 0.0086",1.0
2021-06-09,283,"NUE, CHD, TPL, MTD, UPS","0.1822, 0.0218, 0.0136, 0.0108, 0.0099",1.0
2021-06-23,283,"NVDA, DPZ, TRGP, DVN, LH","0.1764, 0.0172, 0.0149, 0.0143, 0.0127",1.0
2021-07-08,283,"TRGP, NVDA, DVN, DPZ, VRSN","0.1265, 0.0554, 0.0199, 0.0196, 0.0156",1.0
2021-07-22,283,"DPZ, FTNT, CCI, TXN, NVDA","0.1548, 0.0508, 0.0137, 0.0100, 0.0088",1.0
2021-08-05,283,"ENPH, DXCM, DPZ, AMD, CCI","0.1417, 0.0377, 0.0218, 0.0154, 0.0119",1.0
2021-08-19,283,"DXCM, MPWR, DPZ, AMD, VMC","0.1506, 0.0363, 0.0136, 0.0127, 0.0125",1.0
2021-09-02,283,"CMG, MPWR, NOW, DXCM, FTNT","0.0905, 0.0297, 0.0288, 0.0233, 0.0216",1.0
2021-09-17,283,"MPWR, ON, DPZ, ABT, LULU","0.1732, 0.0172, 0.0159, 0.0130, 0.0107",1.0
2021-10-01,283,"DVN, CTRA, WEC, LVS, CHD","0.1519, 0.0360, 0.0211, 0.0102, 0.0097",1.0
2021-10-15,283,"DVN, WEC, FSLR, OXY, LVS","0.1809, 0.0265, 0.0111, 0.0079, 0.0077",1.0
2021-10-29,283,"DVN, WEC, EXPE, ETR, FANG","0.1830, 0.0207, 0.0115, 0.0114, 0.0086",1.0
2021-11-12,283,"DVN, EXPE, LYV, DHR, DPZ","0.1810, 0.0172, 0.0131, 0.0112, 0.0104",1.0
2021-11-29,283,"DLTR, TSLA, LYV, DHR, EXPE","0.1262, 0.0549, 0.0137, 0.0137, 0.0119",1.0
2021-12-13,283,"DLTR, F, CHD, MKTX, NEM","0.1415, 0.0476, 0.0225, 0.0124, 0.0115",1.0
2021-12-28,283,"AMD, TER, ON, NVDA, NEM","0.1077, 0.0295, 0.0267, 0.0243, 0.0239",1.0
2022-01-11,283,"F, ON, NEM, NXPI, CHD","0.1270, 0.0638, 0.0228, 0.0184, 0.0110",1.0
2022-01-26,283,"DVN, VRTX, CAG, NVDA, NEM","0.1648, 0.0220, 0.0193, 0.0191, 0.0121",1.0
2022-02-09,283,"FICO, NEM, NVDA, CAG, MKC","0.1837, 0.0200, 0.0182, 0.0149, 0.0107",1.0
2022-02-24,283,"FICO, K, ENPH, MRK, ED","0.1841, 0.0169, 0.0163, 0.0162, 0.0094",1.0
2022-03-10,283,"OXY, K, ENPH, CVX, MDLZ","0.1833, 0.0189, 0.0130, 0.0123, 0.0089",1.0
2022-03-24,283,"OXY, CMS, CVX, KR, DECK","0.1831, 0.0203, 0.0131, 0.0101, 0.0098",1.0
2022-04-07,283,"MOS, OXY, CVX, XEL, LMT","0.1251, 0.0636, 0.0156, 0.0151, 0.0150",1.0
2022-04-22,283,"EQT, K, ENPH, LDOS, CVS","0.1840, 0.0202, 0.0178, 0.0163, 0.0088",1.0
2022-05-06,283,"EQT, MRK, LDOS, ENPH, EPAM","0.1856, 0.0193, 0.0183, 0.0151, 0.0102",1.0
2022-05-20,283,"EQT, XEL, EPAM, MHK, TTWO","0.1860, 0.0277, 0.0122, 0.0119, 0.0099",1.0
2022-06-06,283,"EQT, EPAM, XEL, LVS, CHD","0.1567, 0.0446, 0.0331, 0.0122, 0.0107",1.0
2022-06-21,283,"EQT, DPZ, VLO, EPAM, META","0.1783, 0.0243, 0.0211, 0.0193, 0.0187",1.0
2022-07-06,283,"MNST, EPAM, WAT, MKTX, FDX","0.1580, 0.0325, 0.0271, 0.0240, 0.0188",1.0
2022-07-20,283,"ENPH, WAT, MKTX, TPL, TRV","0.1805, 0.0229, 0.0211, 0.0195, 0.0154",1.0
2022-08-03,283,"ENPH, KDP, TTWO, USB, UNP","0.1825, 0.0183, 0.0146, 0.0133, 0.0100",1.0
2022-08-17,283,"ENPH, FSLR, CME, DPZ, TXN","0.1533, 0.0338, 0.0213, 0.0168, 0.0127",1.0
2022-08-31,283,"FSLR, TTWO, VZ, TFC, ERIE","0.1870, 0.0166, 0.0142, 0.0128, 0.0079",1.0
2022-09-15,283,"FSLR, USB, ERIE, DXCM, VZ","0.1987, 0.0190, 0.0119, 0.0089, 0.0079",1.0
2022-09-29,283,"FSLR, ERIE, MOH, CHD, MKTX","0.1969, 0.0160, 0.0126, 0.0092, 0.0086",1.0
2022-10-13,283,"FSLR, COP, ERIE, MOH, ENPH","0.1848, 0.0203, 0.0144, 0.0141, 0.0103",1.0
2022-10-27,283,"NCLH, NFLX, FSLR, COP, VZ","0.1248, 0.0336, 0.0259, 0.0186, 0.0156",1.0000000000000002
2022-11-10,283,"TPL, FICO, MCK, FSLR, ERIE","0.1839, 0.0255, 0.0237, 0.0110, 0.0105",1.0
2022-11-25,283,"TPL, FSLR, FICO, MCK, DXCM","0.1463, 0.0341, 0.0232, 0.0228, 0.0151",1.0
2022-12-09,283,"NFLX, FICO, WYNN, MCK, STLD","0.1015, 0.0597, 0.0328, 0.0229, 0.0132",1.0
